org,data,model,infra,eval,score,rank
BAAI,0.5,0.43067655807339306,0.5,1.0,0.5486716123700298,4
ShanghaiAILab,0.38685280723454163,0.38685280723454163,0.3562071871080222,0.6309297535714575,0.4224246949362743,5
Baidu,0.2890648263178879,0.2890648263178879,0.43067655807339306,0.3010299956639812,0.3146609765014876,10
Baichuan,0.27023815442731974,0.27023815442731974,0.2890648263178879,0.31546487678572877,0.2809137201354826,12
Zhipu,0.3562071871080222,0.3562071871080222,0.2890648263178879,0.5,0.3689822624583294,6
Ali,0.31546487678572877,1.0,0.3333333333333333,0.3010299956639812,0.6583047009638406,1
Huawei,0.27894294565112987,0.3010299956639812,0.38685280723454163,0.3010299956639812,0.31165262259026605,11
LMSYS,0.3333333333333333,0.27894294565112987,0.31546487678572877,0.43067655807339306,0.3193839341909741,8
Falcon,0.3010299956639812,0.31546487678572877,0.2890648263178879,0.3562071871080222,0.31544943990784624,9
EleutherAI,0.43067655807339306,0.3333333333333333,0.3010299956639812,0.3010299956639812,0.3387894249002259,7
Meta,0.6309297535714575,0.6309297535714575,1.0,0.3333333333333333,0.6428420579365273,2
Google,1.0,0.5,0.6309297535714575,0.38685280723454163,0.5862970934676666,3
